Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-01-25;27;Bourgogne-Franche-Comte;4.1025;85.525
2016-01-25;28;Normandie;9.4075;65.5225
2016-01-25;32;Hauts-de-France;8.0825;68.33125
2016-01-25;44;Grand Est;5.15375;76.91999999999999
2016-01-25;52;Pays de la Loire;7.67625;79.185
2016-01-25;53;Bretagne;9.84375;62.4525
2016-01-25;75;Nouvelle-Aquitaine;4.2575;90.02499999999999
2016-01-25;76;Occitanie;3.3975;69.1225
2016-01-25;84;Auvergne-Rhone-Alpes;1.925;91.15875
2016-01-25;93;Provence-Alpes-Cote d'Azur;2.97875;79.66875
2016-01-26;11;Ile-de-France;7.88875;40.712500000000006
2016-01-26;24;Centre-Val de Loire;6.315;40.945
2016-01-26;27;Bourgogne-Franche-Comte;4.625;78.1725
2016-01-26;28;Normandie;9.64125;44.400000000000006
2016-01-26;32;Hauts-de-France;8.86375;49.89375
2016-01-26;44;Grand Est;5.69375;53.29
2016-01-26;52;Pays de la Loire;7.49;58.28375
2016-01-26;53;Bretagne;9.72625;31.93
2016-01-26;75;Nouvelle-Aquitaine;3.8875;72.545
2016-01-26;76;Occitanie;3.53625;80.2525
2016-01-26;84;Auvergne-Rhone-Alpes;1.6925;91.39874999999999
2016-01-26;93;Provence-Alpes-Cote d'Azur;3.6725;93.205
2016-01-27;11;Ile-de-France;9.02;16.8475
2016-01-27;24;Centre-Val de Loire;6.7475000000000005;35.30375
2016-01-27;27;Bourgogne-Franche-Comte;4.74625;52.8125
2016-01-27;28;Normandie;10.70125;11.72875
2016-01-27;32;Hauts-de-France;9.865;12.358749999999999
2016-01-27;44;Grand Est;5.9875;31.085
2016-01-27;52;Pays de la Loire;8.341249999999999;26.46875
2016-01-27;53;Bretagne;10.6425;8.85
2016-01-27;75;Nouvelle-Aquitaine;3.49375;65.08125
2016-01-27;76;Occitanie;3.77375;78.40875
2016-01-27;84;Auvergne-Rhone-Alpes;1.99;85.58500000000001
2016-01-27;93;Provence-Alpes-Cote d'Azur;4.045;79.5925
2016-01-28;11;Ile-de-France;9.01375;45.21
2016-01-28;24;Centre-Val de Loire;7.4225;21.455
2016-01-28;27;Bourgogne-Franche-Comte;4.98;25.793750000000003
2016-01-28;28;Normandie;10.60125;67.17
2016-01-28;32;Hauts-de-France;9.67125;65.92750000000001
2016-01-28;44;Grand Est;6.9262500000000005;23.013749999999998
2016-01-28;52;Pays de la Loire;9.53375;43.271249999999995
2016-01-28;53;Bretagne;10.81875;64.56125
2016-01-28;75;Nouvelle-Aquitaine;4.26;35.7025
2016-01-28;76;Occitanie;4.79875;58.43
2016-01-28;84;Auvergne-Rhone-Alpes;2.2375;62.5075
2016-01-28;93;Provence-Alpes-Cote d'Azur;5.01125;77.755
2016-01-29;11;Ile-de-France;9.54375;62.345
2016-01-29;24;Centre-Val de Loire;8.776250000000001;73.0375
2016-01-29;27;Bourgogne-Franche-Comte;6.0175;75.72
